acronym,definition
1321,Publ 1321: Special Instructions for Bona Fide Residents Of Puerto Rico Who Must File A U.S. Individual Income Tax Return (Form 1040 or Form 1040-SR)
13285-A,Form 13285-A: Reducing Tax Burden on America's Taxpayers
13287,Form 13287: Bank Payment Problem Identification
1335,Publ 1335: Backup Withholding Questions and Answers
13369,Form 13369: Agreement to Mediate
13424,Form 13424: Low Income Taxpayer Clinic (LITC) Application Information
13424-A,Form 13424-A: Low Income Taxpayer Clinic (LITC) General Information Report
13424-B,Form 13424-B: Low Income Taxpayer Clinic (LITC) Case Issues Report
13424-C,Form 13424-C: Low Income Taxpayer Clinic (LITC) Advocacy Information Report
13424-F,Form 13424-F: Volunteer / Pro Bono Time Reporting
13424-J,Form 13424-J: Detailed Budget Worksheet
13424-K,Form 13424-K: Low Income Taxpayer Clinic (LITC) Case Information Report
13424-L,Form 13424-L: Statement of Grant Expenditures
13424-M,Form 13424-M: Low Income Taxpayer Clinic (LITC) Application Narrative
13424-N,Form 13424-N: Low Income Taxpayer Clinic (LITC) Program Narrative Report
13441-A,Form 13441-A: Health Coverage Tax Credit (HCTC) Monthly Registration and Update
1345,Publ 1345: Handbook for Authorized IRS e-file Providers of Individual Income Tax Returns
13533,Form 13533: VITA - TCE Partner Sponsor Agreement
13533-A,Form 13533-A: FSA Remote Sponsor Agreement
13551,Form 13551: Application to Participate in the IRS Acceptance Agent Program
13560,Form 13560: Health Plan Administrator (HPA) Return of Funds
13614-C,Form 13614-C: Intake/Interview & Quality Review Sheet
13614-NR,Form 13614-NR: Nonresident Alien Intake and Interview Sheet
13615,Form 13615: Volunteer Standards of Conduct Agreement - VITA/TCE Programs
1363,Form 1363: Export Exemption Certificate
13690 ,Form 13690 : Income and Deductions Checklist
13691 ,Form 13691 : Where is My Refund?
13711,Form 13711: Request for Appeal of Offer in Compromise
13715,Form 13715: Volunteer Site Information Sheet
13748,Form 13748: Event Registration Form
13750,Form 13750: Election to Participate in Announcement 2005-80 Settlement Initiative
13751,"Form 13751: Waiver of Right to Consistent Agreement of Partnership Items and Partnership-Level Determinations as to Penalties, Additions to Tax, and Additional Amounts"
13768,Form 13768: Electronic Tax Administration Advisory Committee Membership Application
13797,Form 13797: Compliance Check Report
13803,Form 13803: Income Verification Express Service (IVES) Application
13844,Form 13844: Application For Reduced User Fee For Installment Agreements
13909,Form 13909: Tax-Exempt Organization Complaint (Referral)
1392,Notc 1392: Supplemental Form W-4 Instructions for Nonresident Aliens
13930,Form 13930: Application for Central Withholding Agreement
13973,Form 13973: Health Coverage Tax Credit (HCTC) Blank Payment Coupon
13976,Form 13976: Itemized Statement Component of Advisee List
13977,Form 13977: VITA Grant Program Budget Plan
13978,Form 13978: Projected Operations VITA Grant Program Application Plan
13989,Form 13989: IRS Tax Forum Case Resolution Data Sheet
13997,Form 13997: Validating Your TIN and Reasonable Cause
14017,Form 14017: Application for Fast Track Settlement
14039,Form 14039: Identity Theft Affidavit
14039-B,Form 14039-B: Business Identity Theft Affidavit
14095,Form 14095: The Health Coverage Tax Credit (HCTC) Reimbursement Request
14134,Form 14134: Application for Certificate of Subordination of Federal Tax Lien
14135,Form 14135: Application for Certificate of Discharge of Property from Federal Tax Lien
1415,Publ 1415: Federal Tax Compliance Research: Tax Gap Estimates
14154 ,Form 14154 : Form W-7 Checklist
14157,Form 14157: Complaint: Tax Return Preparer
14157-A,Form 14157-A: Tax Return Preparer Fraud or Misconduct Affidavit
14199,Form 14199: COBRA Recapture Statement
14204,Form 14204: Tax Counseling for the Elderly (TCE) Program Application Checklist and Contact Sheet
14234,Form 14234: Compliance Assurance Process (CAP) Application
14234-A,Form 14234-A: Compliance Assurance Process (CAP) Research Credit Questionnaire (CRCQ)
14234-B,Form 14234-B: Material Intercompany Transactions Template (MITT)
14234-C,Form 14234-C: Taxpayer Initial Issues List
14234-D,Form 14234-D: Tax Control Framework Questionnaire
14242,Form 14242: Reporting Abusive Tax Promotions and/or Promoters
14310,Form 14310: Partner and Volunteer Sign Up
14335,Form 14335: Primary Contact Information for VITA/TCE Grant Programs
14345,"Form 14345: Application for Qualified Intermediary, Withholding Foreign Partnership, or Withholding Foreign Trust Status"
1436,Publ 1436: Test Package for Electronic Filers of Individual Income Tax Returns
14360,Form 14360: Continuing Education Provider Complaint Referral
14364,Form 14364: Continuing Education Evaluation
1439,"Notc 1439: Figuring the Amount Exempt from Levy on Wages, Salary, and Other Income - Forms 668-W, 668-W(ACS) and 668-W(ICS)"
14392,Form 14392: Continuing Education Waiver Request
14402,Form 14402: Internal Revenue Code (IRC) Section 6702(d) Frivolous Return Submissions Penalty Reduction
14411,Form 14411: Systemic Advocacy Issue Submission Form
14414,Form 14414: Group Ruling Questionnaire
14417,"Form 14417: Reimbursable Agreement - Non-Federal Entities (State and Local Governments, Foreign Governments, Commercial Organizations, and Private Businesses)"
14429,Form 14429: Tax Exempt Bonds Voluntary Closing Agreement Program Request
1444-A ,Notc 1444-A : EIP Non-Filers Outreach You May Need to Act to Claim Your Payment
1444-B ,Notc 1444-B : Your Second Economic Payment
14446,Form 14446: Virtual VITA/TCE Taxpayer Consent
14452,Form 14452: Foreign Account or Asset Statement
14453,Form 14453: Penalty Computation Worksheet
14454,Form 14454: Attachment to Offshore Voluntary Disclosure Letter
14457,Form 14457: Voluntary Disclosure Practice Preclearance Request and Application
14462,Form 14462: Authorization for Disclosure of Information - IRS Return Preparer Office
14467,Form 14467: Statement on Abandoned Entities
14497,Form 14497: Notice of Nonjudicial Sale of Property
14498,Form 14498: Application for Consent to Sale of Property Free of the Federal Tax Lien
1450,Publ 1450: Instructions for Requesting a Certificate of Release of Federal Tax Lien
14534,Form 14534: Intake/Interview and Quality Review Certificate
14568,Form 14568: Model VCP Compliance Statement
14568-A,Form 14568-A: Model VCP Compliance Statement Schedule 1 Interim Nonamender Failures
14568-B,Form 14568-B: Model VCP Compliance Statement Schedule 2 Other Nonamender Failures and Failure to Adopt a 403(b) Plan Timely
14568-C,Form 14568-C: Model VCP Compliance Statement Schedule 3 SEPs and SARSEPs
14568-D,Form 14568-D: Model VCP Compliance Statement Schedule 4 SIMPLE IRAs
14568-E,Form 14568-E: Model VCP Compliance Statement Schedule 5 Plan Loan Failures (Qualified Plans and 403(b) Plans)
14568-F,Form 14568-F: Model VCP Compliance Statement Schedule 6 Employer Eligibility Failure (401(k) and 403(b) Plans only)
14568-G,Form 14568-G: Model VCP Compliance Statement Schedule 7 Failure to Distribute Elective Deferrals in Excess of the 402(g) Limit
14568-H,Form 14568-H: Model VCP Compliance Statement Schedule 8 Failure to Pay Required Minimum Distributions Timely
14568-I,Form 14568-I: Model VCP Compliance Statement Schedule 9 Limited Safe Harbor Correction by Plan Amendment
1457,Publ 1457: Actuarial Valuations Version 3A
1458,Publ 1458: Actuarial Valuations Version 3B
14581-A,Form 14581-A: Fringe Benefits Compliance Self-Assessment For Public Employers
14581-B,Form 14581-B: International Issues Compliance Self-Assessment For Public Employers
14581-C,Form 14581-C: Medicare Coverage Compliance Self-Assessment For State and Local Government Employers
14581-D,Form 14581-D: Other Tax Issues Compliance Self-Assessment For Public Employers
14581-E,Form 14581-E: Retirement Plan Coverage Compliance Self-Assessment For State and Local Government Entities
14581-F,Form 14581-F: Social Security Coverage Compliance Self-Assessment For State and Local Government Entities
14581-G,Form 14581-G: Employee or Independent Contractor Compliance Self-Assessment For Public Employers
1459,Publ 1459: Actuarial Valuations Version 3C
14652 ,Form 14652 : Civil Rights Complaint
14653,Form 14653: Certification by U.S. Person Residing Outside of the United States for Streamlined Foreign Offshore Procedures
14654,Form 14654: Certification by U.S. Person Residing in the United States for Streamlined Domestic Offshore Procedures
1468,Publ 1468: Guidelines for Notices of Federal Tax Liens and Centralized Lien Processing
14693,Form 14693: Application for Reduced Rate of Withholding on Whistleblower Award Payment
14704,Form 14704: Transmittal Schedule Form 5500-EZ Delinquent Filer Penalty Relief Program (Revenue Procedure 2015-32)
14708,Form 14708: Streamlined Domestic Penalty Reconsideration Request Related to Canadian Retirement Plans
14726,Form 14726: Waiver of the Notice of Final Partnership Adjustment (FPA)
1474,Publ 1474: Technical Specifications Guide for Reporting Agent Authorization and Federal Tax Depositors
14751,Form 14751: Certified Professional Employer Organization Surety Bond
14764,Form 14764: ESRP Response
14765,Form 14765: Employee Premium Tax Credit (PTC) Listing
14773,Form 14773: Offer in Compromise Withdrawal
14773-A,Form 14773-A: Offer in Compromise Withdrawal Joint
14781,Form 14781: Electronic Federal Tax Payment System (EFTPS) Insolvency Registration
14815,Form 14815: Supporting Documents to Prove the Child Tax Credit (CTC) and Credit for Other Dependents (ODC)
1494,"Publ 1494: Table for Figuring Amount Exempt from Levy on Wages, Salary, and Other Income (Forms 668-W(ACS), 668-W(c)(DO) and 668-W(ICS))"
14950,Form 14950: Premium Tax Credit Verification
15,"Publ 15: Circular E, Employer's Tax Guide"
15-A,"Publ 15-A: Employer's Supplemental Tax Guide (Supplement to Circular E, Employer's Tax Guide, Publication 15)"
15-B,Publ 15-B: Employer's Tax Guide to Fringe Benefits
15-T,Publ 15-T: Federal Income Tax Withholding Methods
1500,Publ 1500: The IRS Research Bulletin
15028,Form 15028: Certification of Publicly Traded Partnership to Notify Specified Partners and Qualified Relevant Partners for Approved Modifications Under IRC Section 6225(c)(5)
15057,Form 15057: Agreement to Rescind Notice of Final Partnership Adjustment
15086,Form 15086: Offer in Compromise Public Inspection File Request
15094,Form 15094: Consent to Disclose Tax Information
15100,Form 15100: Adoption Taxpayer Identification Number (ATIN) Extension Request
15101,Form 15101: Provide a Social Security Number (SSN) for Adoptive Child
15103,Form 15103: Form 1040 Return Delinquency
15104,Form 15104: Status of the Taxpayer Levy
15105,Form 15105: No Breakdown of Liability By Abstract Number on Form 720
15107,Form 15107: Information Request for a Deceased Taxpayer
15109,Form 15109: Request for Tax Deferment
15110,Form 15110: Additional Child Tax Credit Worksheet
15111,Form 15111: Earned Income Credit Worksheet (CP 09)
15112,Form 15112: Earned Income Credit Worksheet (CP 27)
1516,"Publ 1516: Specifications for Electronic Filing of Forms 8596,Information Returns for Federal Contracts"
1518-A,Publ 1518-A: Tax Calendar Options for Businesses and Self-Employed
15200,Form 15200: Certificate of Completion (Paid Preparer Due Diligence Training)
15227 ,Form 15227 : Application for an Identity Protection Personal Identification Number (IP PIN)
15230,Form 15230: Senior Executive Service Candidate Development Program Endorsement
15230-A,Form 15230-A: Mobility Statement for the Senior Executive Service Candidate Development Program
15230-B,Form 15230-B: IRS Continuing Service Agreement (for Candidate Development Program Participants)
15237,"Form 15237: Administrative Damage Claim Under Sections 7426(h), 7432, 7433(a-d)"
15237-A,Form 15237-A: Request for Section 7430 Recoverable Costs
15247,Form 15247: Product Review Feedback for SPEC Products
15250,Form 15250: Nonbank Trustee/Custodian Status Notification
15254,Form 15254: Request for Section 754 Revocation
15272,Form 15272: VITA/TCE Security Plan
15273,Form 15273: Virtual VITA/TCE Plan
15288,Form 15288: Request to Revoke Partnership Election under IRC Section 6221(b) or Request to Revoke Election under 1101(g)(4)
1544,"Publ 1544: Reporting Cash Payments of Over $10,000"
1546,Publ 1546: Taxpayer Advocate Service We are Here to Help You
1546-EZ,Publ 1546-EZ: The Taxpayer Advocate Service - Your Voice at the IRS
1577,Publ 1577: Applying for Educational Financial Aid
1586,Publ 1586: Reasonable Cause Regulations and Requirements for Missing and Incorrect Name/TINs (including instructions for reading CD/DVDs)
16,Publ 16: Statistics of Income Corporation Income Tax Returns
1635,Publ 1635: Understanding Your EIN
1660,Publ 1660: Collection Appeal Rights
1693,Publ 1693: SSA/IRS Reporter
1693,Publ 1693: SSA/IRS Reporter Newsletter
17,Publ 17: Your Federal Income Tax (For Individuals)
1769 ,Publ 1769 : IRS Bookmark
1771,Publ 1771: Charitable Contributions - Substantiation and Disclosure Requirements
1779,Publ 1779: Independent Contractor or Employee Brochure
179,Publ 179: Circular PR - Guia Contributiva Federal Para Patronos Puertorriquenos
1819,Publ 1819: Divorce - An IRS Perspective - Life Cycle Product
1828,Publ 1828: Tax Guide for Churches and Religious Organizations
1854,Publ 1854: How to Prepare a Collection Information Statement (Form 433-A)
1915,Publ 1915: Understanding Your IRS Individual Taxpayer Identification Number (ITIN)
1976,Publ 1976: Do You Qualify for Relief Under Section 530?
2032,Form 2032: Contract Coverage Under Title II of the Social Security Act
2043,Publ 2043: IRS Refund Information Guidelines for the Tax Preparation Community
2063,Form 2063: U.S. Departing Alien Income Tax Statement
2071,Publ 2071: Advertising Brochure for Seasonal Data Transcribers
2104,Publ 2104: National Taxpayer Advocate's Annual Report to Congress
2104-B,Publ 2104-B: National Taxpayer Advocate's Annual Report to Congress (Volume 2)
2104-C,Publ 2104-C: National Taxpayer Advocate Annual Report to Congress Executive Summary
2105,Publ 2105: Why do I have to Pay Taxes?
2106,Form 2106: Employee Business Expenses
2108,Publ 2108: Federal Agency TIN Matching Program
2108-A,Publ 2108-A: On-Line Taxpayer Identification Number (TIN) Matching Program
211,Form 211: Application for Reward for Original Information
211-A,Form 211-A: State or Local Law Enforcement
2120,Form 2120: Multiple Support Declaration
2159,Form 2159: Payroll Deduction Agreement
216,Publ 216: Conferences and Practice Requirements
2194,Publ 2194: Disaster Resource Guide for Individuals and Businesses
2194-SP,Publ 2194-SP: Disaster Resource Guide for Individual and Business (Spanish version)
2210,"Form 2210: Underpayment of Estimated Tax by Individuals, Estates and Trusts"
2210-F,Form 2210-F: Underpayment of Estimated Tax By Farmers and Fishermen
2220,Form 2220: Underpayment of Estimated Tax By Corporations
225,Publ 225: Farmer's Tax Guide
2290,"Form 2290: Form 2290, Heavy Highway Vehicle Use Tax Return"
2290,Form 2290: Heavy Highway Vehicle Use Tax Return
23,Form 23: Application for Enrollment to Practice Before the Internal Revenue Service
2350,Form 2350: Application for Extension of Time to File U.S. Income Tax Return
23C,Assessment Date; Master File Notice Date
2438,Form 2438: Undistributed Capital Gains Tax Return
2439,Form 2439: Notice to Shareholder of Undistributed Long-Term Capital Gains
2441,Form 2441: Child and Dependent Care Expenses
2553,Form 2553: Election by a Small Business Corporation
2555,Form 2555: Foreign Earned Income
2587,Form 2587: Application for Special Enrollment Examination
2624,Form 2624: Consent for Third Party Contact
2678,Form 2678: Employer/Payer Appointment of Agent
2848,Form 2848: Power of Attorney and Declaration of Representative
3,Publ 3: Armed Forces' Tax Guide
3066,Publ 3066: Have you Had your Check up this year for Retirement Plans?
3067 ,Publ 3067 : IRS Disaster Assistance - Federally Declared Disaster Area
3079,Publ 3079: Tax-Exempt Organizations and Gaming
3112,Publ 3112: IRS e-file Application and Participation
3114,Publ 3114: Compliance Checks
3115,Form 3115: Application for Change in Accounting Method
3125,Publ 3125: An Important Message For Taxpayers With IRAs
3144,Publ 3144: Tips on Tips - A Guide to Tip Income Reporting for Employers in Businesses Where Tip Income is Customary
3148,Publ 3148: Tips on Tips - A Guide to Tip Income Reporting for Employees Who Receive Tip Income
3151,Publ 3151: The ABCs of FTDs: Quick Reference Guide for Understanding Federal Tax Deposits
3151-A,Publ 3151-A: The ABCs of FTDs: Resource Guide for Understanding Federal Tax Deposits
3202,Publ 3202: Seized Computer Evidence Recovery Specialist (SCERS) Training Program for Foreign Tax Enforcement Officals
3211,Publ 3211: Q&A Life's A Little Easier With Earned Income Tax Credit (EITC)
3211 ,Publ 3211 : Earned Income Tax Credit (EITC) Q&A
3319,Publ 3319: Low Income Taxpayer Clinics (LITC) Grant Application Package and Guidelines
334,Publ 334: Tax Guide for Small Business (For Individuals Who Use Schedule C or C-EZ)
3366-A,Publ 3366-A: IRS Tax Forms - Photocopies Available Here Poster
3373,"Publ 3373: Disclosure of Information to Federal, State, and Local Agencies (DIFSLA) Handbook"
3386,Publ 3386: Tax Guide - Veterans' Organizations
3402,Publ 3402: Taxation of Limited Liability Companies
3415,Publ 3415: ETA Advisory Committee Annual Report to Congress
3468,Form 3468: Investment Credit
3491,Form 3491: Consumer Cooperative Exemption Application
3498,Publ 3498: The Examination Process
3498-A,Publ 3498-A: The Examination Process (Examinations by Mail)
3520,Form 3520: Annual Return To Report Transactions With Foreign Trusts and Receipt of Certain Foreign Gifts
3520-A,Form 3520-A: Annual Information Return of Foreign Trust With a U.S. Owner
3524,Publ 3524: EITC Eligibility Checklist Poster
3524-A,Publ 3524-A: EITC Eligibility Checklist
3535,Publ 3535: Does Your Social Security Card look like this? Poster
3536,Publ 3536: Motor Fuel Excise Tax EDI Guide
3561,Publ 3561: Organizational Performance Management And The IRS Balanced Measurement System
3583,Publ 3583: Internal Revenue Service: Criminal Investigation Annual Report
3598,Publ 3598: What You Should Know About the Audit Reconsideration Process
3605,Publ 3605: Fast Track Mediation-A Process for Prompt Resolution of Tax Issues
3676-A ,Publ 3676-A : IRS Certified Volunteers Providing Free Tax Preparation
3676-B ,Publ 3676-B : VITA/TCE Site Location Flyer for Field Assistance Taxpayer Assistance Centers
3744,Publ 3744: IRS Strategic Plan
3744-C,Publ 3744-C: IRS Strategic Plan Placemat
3800,Form 3800: General Business Credit
3833,Publ 3833: Disaster Relief (Be Part of the Program)
3857,Publ 3857: If You Suspect False Information
3865,Publ 3865: Tax Information for Survivors of Domestic Abuse
3869,Publ 3869: At A Glance: U.S. Code Statutes For Which IRS Criminal Investigation Has Jurisdiction
3881,Form 3881: ACH Vendor Miscellaneous Payment Enrollment
3881-A,Form 3881-A: ACH Vendor/Miscellaneous Payment Enrollment - HCTC
3891,Publ 3891: Lockbox Addresses
3903,Form 3903: Moving Expenses
3908,Publ 3908: Gaming Tax Law and Bank Secrecy Act Issues for Indian Tribal Governments
3911,Form 3911: Taxpayer Statement Regarding Refund
3920,Publ 3920: Tax Relief for Victims of Terrorist Acts
3921,Form 3921: Exercise of an Incentive Stock Option Under Section 422(b)
